Title,Name [personal] (Creator),Name [corporate] (Creator),Place of Origin,Date,Subject - Topic,Subject - Geographic,Subject - Name [personal],Subject - Name [corporate],Abstract (Description),Note [content] (Note),Contributing Repository
"Clipping of the explosion of the steamer ""Princess"", 1859",,,,1859,River steamers--Fires and fire prevention--Louisiana--Baton Rouge; Steamboat disasters--Louisiana--Baton Rouge,,,Princess (Steamboat),"This newspaper clipping describes the explosion and burning of the steamer Princess at Baton Rouge, La., on February 27, 1859.",,LSU Libraries. Special Collections
"Clipping of the fire that destroyed the steamer ""Robert E. Lee,"" 1882 September 30",,,,1882,River steamers--Louisiana--Yucatan Plantation; Steamboat disasters--Louisiana--Yucatan Plantation,,,Robert E. Lee (Steamboat),"This newspaper clipping is an illustration of the burning of the steamer Robert E. Lee at the Yucatan Plantation, about thirty mile below Vicksburg (Miss.).",,LSU Libraries. Special Collections
"The ""Baton Rouge"" -- an old Anchor Line sidewheeler loading at New Orleans",,,,circa 1900,River steamers--Louisiana--New Orleans,,,Baton Rouge (Steamboat),This is a mechanical print showing the steamer Baton Rouge loading cargo in New Orleans.,,LSU Libraries. Special Collections
"Steamer ""Black Hawk,"" 1911",,,,1911,River steamers,,,Black Hawk (Steamboat),"This is a photomechanical print of a photograph of the ""Black Hawk"" moored in a waterway.",,LSU Libraries. Special Collections
"Steamer ""Edward J. Gay,"" 1880",,,,1880,River steamers,,,Edward J. Gay (Steamboat),"This is a photomechanical print of a photograph of the ""Edward J. Gay"" moored in a waterway.",,LSU Libraries. Special Collections
"Steamer ""Grand Republic""",,,,circa 1900,River steamers; Photography of interiors,,,Grand Republic (Steamboat),"This is a photomechanical print of a photograph of the cabin of the ""Grand Republic.""","Image caption: The richly furnished cabin of the ""Grand Republic."" The Carpet in this Picture was 300 Feet Long, and Woven in One Piece in Belgium Especially for the Packet.",LSU Libraries. Special Collections
"Steamer ""Henry Frank""",,,,4/29/1923,River steamers; Cotton--Transportation,,,Henry Frank (Steamboat),"This is a photomechanical print of a photograph of the ""Henry Frank"" moored in a waterway laden with cotton bales.","Image caption: Old-time freight carrier, the Henry Frank, in the St. Louis-New Orleans trade, bearing a record-breaking cotton cargo - 9226 bales, about the equivalent of 2300 tons.",LSU Libraries. Special Collections
"Steamer ""J.A.R. Watson""",,,,circa 1900,,,,J.A.R. Watson (Steamboat),"This is a photomechanical print of a photograph of the ""J. A. R. Watson"" moored in a waterway with three other boats.",,LSU Libraries. Special Collections
"Steamer ""J.M. White,"" 1878",,,,1878,River steamers,,,J. M. White (Steamboat),"This is a photomechanical print of a photograph of the ""J. M. White"" underway on a waterway.","Image caption: ""Floating Palace"" of the high-tide of river traffic. The J. M. White, a famous steamboat in the New Orleans-Vicksburg trade many years ago. In her day, her service and speed was not surpassed in the world.",LSU Libraries. Special Collections
"Steamer ""J.M. White,"" 1878",,,,1878,River steamers,,,J. M. White (Steamboat),"This is a halftone print of a photograph of the ""J. M. White"" underway on a waterway.","Image caption: ""Floating Palace"" of the high-tide of river traffic. The J. M. White, a famous steamboat in the New Orleans-Vicksburg trade many years ago. In her day, her service and speed was not surpassed in the world.",LSU Libraries. Special Collections
"Steamer ""Katie,"" 1871",,,,1871,River steamers,,,Katie (Steamboat),"This is a photographic copy of a halftone print of a photograph of the ""Katie"" moored in a waterway.",Image caption: Mississippi River Packet That Rode A  Crevasse Into A Cane Field,LSU Libraries. Special Collections
"Steamers ""Natchez"" and ""Eclipse""",,,,1860,River steamers; Steamboats--Competitions,,,Natchez (Steamboat); Eclipse (Steamboat),"This is a photographic copy of a photographic copy of a halftone print of the ""Natchez"" and ""Eclipse"" underway on a waterway.","This appears to be a cropped copy of ""A Midnight Race on the Mississippi Natchez and Eclipse,"" created by Francis Flora Bond Palmer, published by Currier & Ives, 1860. The scene depicts a race between the Natchez and the Eclipse on the Lower Mississippi, in 1854. Palmer worked from a drawing made by H.D. Manning.",LSU Libraries. Special Collections
"Steamers ""Natchez"" and ""Robert E. Lee,"" 1870",,,,1870,River steamers; Steamboats--Competitions,,,Natchez (Steamboat); Robert E. Lee (Steamboat),"This is a photographic copy of a photomechanical print of the ""Natchez"" and ""Robert E. Lee"" underway on a waterway.","This appears to be a cropped copy of a variation of ""The Great Mississippi Steamboat Race–From New Orleans to St. Louis, July 1870–Between the R.E. Lee, Captain John W. Cannon and Natchez Captain Leathers–Won by the R.E. Lee, Time: 3 Days 18 Hours and 30 Minutes; Distance 1210 Miles,"" published by Currier & Ives, between 1872 and 1874.",LSU Libraries. Special Collections
"Anniversary of the greatest race the River ever saw, June 30, 1909","Duble, C. C.",,,6/30/1909,River steamers; Steamboats--Competitions,,,Natchez (Steamboat); Robert E. Lee (Steamboat),"This is a newspaper clipping of an article written about the 1870 race between the steamboats ""Natchez"" and ""Robert E. Lee.""",,LSU Libraries. Special Collections
"Steamer ""Natchez""",,,,circa 1860 ,River steamers,,,Natchez (Steamboat),"This is a photographic copy of a cased image of the ""Natchez.""",,LSU Libraries. Special Collections
"Steamer ""Natchez""",,,,circa 1870 ,River steamers,,,Natchez (Steamboat),"This is a photographic copy of a photograph of the ""Natchez.""",,LSU Libraries. Special Collections
"Steamer ""Natchez""",,,,circa 1870 ,River steamers,,,Natchez (Steamboat),"This is a photographic copy of a photograph of the ""Natchez.""",,LSU Libraries. Special Collections
"The ""Ouachita"" -- a lower Mississippi type","Stanton, Samuel Ward",,,1895,River steamers,,,Ouachita (Steamboat),"This is a photographic copy of an engraving created by Samuel Ward Stanton for publication in ""American Steam Vessels.""",,LSU Libraries. Special Collections
"Steamer ""Paul Tulane,"" 1888",,,,1888,River steamers,,,Paul Tulane (Steamboat),"This is a photographic copy of a halftone print of a photograph of the ""Paul Tulane"" moored in a waterway.",,LSU Libraries. Special Collections
"Steamer ""St. James""",,,,circa 1880 ,River steamers,,,St. James (Steamboat),"This is a photographic copy of a mounted albumen photographic print of the ""St. James"" moored in a waterway.",,LSU Libraries. Special Collections
"Steamer ""St. James""",,,,circa 1880 ,River steamers,,,St. James (Steamboat),"This is a  photographic copy of a mounted albumen photographic print of the ""St. James"" moored in a waterway.",,LSU Libraries. Special Collections
